NAME,FPL,a_ch2ns,x1_ch2ns,y1_ch2ns,x2_ch2ns,y2_ch2ns,xfactor,yfactor,xoffset,yoffset,xns_off,yns_off,xpos_off,ypos_off,xzpos,yzpos,tdc_overflow,txsum_min,txsum_max,tysum_min,tysum_max,Tx1_geo,Tx1_ch,Tx2_geo,Tx2_ch,Ty1_geo,Ty1_ch,Ty2_geo,Ty2_ch,Ta_geo,Ta_ch,Qx1_geo,Qx1_ch,Qx2_geo,Qx2_ch,Qy1_geo,Qy1_ch,Qy2_geo,Qy2_ch,Qa_geo,Qa_ch
F1PPAC-1,1,0.151595,0.141179,0.147747,0.144717,0.14362,1.232,1.233,1.24,1.28,3.31,2.78,0,0,178.5,187.1,4000,-2000,2000,-2000,2000,0,1,0,3,0,2,0,4,0,0,0,1,0,3,0,2,0,4,0,0
F1PPAC-2,1,0.147348,0.149795,0.14605,0.146158,0.148486,1.231,1.238,0.86,0.77,9.01,3.85,0.871,0,498.5,507.1,4000,-2000,2000,-2000,2000,0,6,0,8,0,7,0,9,0,5,0,6,0,8,0,7,0,9,0,5
F2PPAC-1,2,0.147454,0.150245,0.153647,0.15275,0.149455,1.229,1.233,0.75,0.63,-17.83,23.08,0,0,-895.1,-866.58,4000,-2000,2000,-2000,2000,0,1,0,3,0,2,0,4,0,0,0,1,0,3,0,2,0,4,0,0
F2PPAC-2,2,0.14977,0.145529,0.146329,0.15176,0.145154,1.225,1.232,0.84,0.46,3.12,-13.73,-0.5876,0,56.5,65.1,4000,-2000,2000,-2000,2000,0,6,0,8,0,7,0,9,0,5,0,6,0,8,0,7,0,9,0,5
F3PPAC-1A,3,0.147696,0.151096,0.148212,0.147478,0.150747,1.238,-1.224,0.79,-0.85,-4.72,-3.54,1.046,0,271.3,279.9,4000,-1000,1000,-1000,1000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F3PPAC-1B,3,0.144662,0.151345,0.14818,0.15148,0.146174,1.236,-1.227,1.1,-0.48,-11.4,16.33,0.5747,0,308.7,300.1,4000,-1000,1000,-1000,1000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F3PPAC-2A,3,0.150818,0.146298,0.148608,0.151626,0.150946,1.234,-1.236,1.18,-0.25,9.79,10.17,1.9789,0,871.3,879.9,4000,-1000,1000,-1000,1000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F3PPAC-2B,3,0.149367,0.146958,0.144238,0.148189,0.146956,1.225,-1.236,1.17,-0.39,6.96,8.05,1.764,0,908.7,900.1,4000,-1000,1000,-1000,1000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
F4PPAC,4,0.150414,0.14868,0.149443,0.147131,0.149318,1.231,1.226,0.86,0.01,7.64,17.62,-3.115,0,96.5,105.1,4000,-1000,1000,-1000,1000,0,1,0,3,0,2,0,4,0,0,0,1,0,3,0,2,0,4,0,0
F5PPAC-1A,5,0.140546,0.151622,0.145979,0.147927,0.146828,1.231,-1.23,1.08,-0.46,13.66,22.86,0,0,-418.7,-410.1,4000,-1000,1000,-1000,1000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F5PPAC-1B,5,0.141985,0.151959,0.152978,0.144341,0.151408,1.226,-1.231,0.99,-0.13,14.38,0.79,0,0,-381.3,-389.9,4000,-1000,1000,-1000,1000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F5PPAC-2A,5,0.144636,0.146886,0.148598,0.147218,0.150814,1.227,-1.229,1.46,-0.51,-14.86,13.09,-0.15,0,231.3,239.9,4000,-1000,1000,-1000,1000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F5PPAC-2B,5,0.14948,0.14824,0.151384,0.145607,0.148806,1.229,-1.235,1.05,-0.33,10.94,-15.63,-0.15,0,268.7,260.1,4000,-1000,1000,-1000,1000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
F6PPAC,6,0.153275,0.150242,0.152564,0.146609,0.149084,1.242,1.223,0.95,0.17,2.22,8.35,-0.63,0,96.5,105.1,4000,-1000,1000,-1000,1000,0,1,0,3,0,2,0,4,0,0,0,1,0,3,0,2,0,4,0,0
F7PPAC-1A,7,0.139108,0.141496,0.149205,0.142964,0.144151,1.211,-1.228,1.34,-0.44,-1.92,-7,-0.3,0,-868.7,-860.1,4000,-1000,1000,-1000,1000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F7PPAC-1B,7,0.138979,0.145397,0.147769,0.149053,0.148728,1.22,-1.239,0.82,-0.19,14.42,16.42,-0.3,0,-831.3,-839.9,4000,-1000,1000,-1000,1000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F7PPAC-2A,7,0.148906,0.14645,0.147926,0.149802,0.151382,1.218,-1.248,0.64,-0.95,8.01,-8.46,-0.43,0,76.3,84.3,4000,-1000,1000,-1000,1000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F7PPAC-2B,7,0.147447,0.14805,0.147009,0.147318,0.143919,1.244,-1.221,0.93,-0.27,12.8,-7.73,-0.43,0,113.7,105.1,4000,-1000,1000,-1000,1000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
F8PPAC-1A,8,0.146958,0.143029,0.144447,0.146295,0.144236,1.231,-1.238,1.34,-0.58,-2.49,-5.28,0,0,-1310.7,-1302.1,4000,-2000,2000,-2000,2000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F8PPAC-1B,8,0.14824,0.149385,0.143185,0.148076,0.146068,1.219,-1.231,0.65,-0.59,-2.67,11.8,0,0,-1273.3,-1281.9,4000,-2000,2000,-2000,2000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F8PPAC-2A,8,0.146962,0.144117,0.143094,0.145777,0.147426,1.22,-1.23,1.26,-0.28,-8.4,-1.44,0.7,0,-810.7,-802.1,4000,-2000,2000,-2000,2000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F8PPAC-2B,8,0.145384,0.144564,0.146335,0.145097,0.147534,1.22,-1.208,0.92,-0.62,-5.87,-10.67,0.7,0,-773.3,-781.9,4000,-2000,2000,-2000,2000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
F9PPAC-1A,9,0.144846,0.152054,0.144032,0.149193,0.145932,1.226,-1.234,0.56,-0.89,13.57,3.34,0,-0.9,-18.7,-10.1,4000,-2000,2000,-2000,2000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F9PPAC-1B,9,0.140907,0.141752,0.149194,0.145475,0.141491,1.225,-1.224,1.04,-0.81,-0.49,11.42,0,-0.9,18.7,10.1,4000,-2000,2000,-2000,2000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F9PPAC-2A,9,0.152341,0.147303,0.147355,0.14983,0.14613,1.234,-1.23,0.91,-0.69,-26.46,1.01,0,-1.2,681.3,689.9,4000,-2000,2000,-2000,2000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F9PPAC-2B,9,0.150016,0.144018,0.147399,0.15279,0.152808,1.23,-1.231,0.88,-0.42,-10.55,15.41,0,-1.2,718.7,710.1,4000,-2000,2000,-2000,2000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
F10PPAC-1A,10,0.147347,0.146293,0.145615,0.152921,0.14881,1.23,-1.227,1.35,-0.28,-12.91,15.36,0,-0.1,-18.7,-10.1,4000,-2000,2000,-2000,2000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F10PPAC-1B,10,0.147012,0.153731,0.149329,0.150958,0.148988,1.227,-1.232,1.02,0,-1.11,18.87,0,-0.1,18.7,10.1,4000,-2000,2000,-2000,2000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F10PPAC-2A,10,0.150526,0.147988,0.150685,0.150567,0.154362,1.228,-1.23,0.95,-0.35,8.01,1.22,0,-0.9,681.3,689.9,4000,-2000,2000,-2000,2000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F10PPAC-2B,10,0.139081,0.148954,0.153196,0.151319,0.151899,1.231,-1.243,1.18,-0.41,3.19,-8.97,0,-0.9,718.7,710.1,4000,-2000,2000,-2000,2000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
F11PPAC-1A,11,0.147478,0.147666,0.146122,0.143161,0.144448,1.227,-1.229,1.29,0.05,-2.84,-5.72,-0.5,0,-810.7,-802.1,4000,-2000,2000,-2000,2000,0,4,0,6,0,5,0,7,0,0,0,4,0,6,0,5,0,7,0,0
F11PPAC-1B,11,0.146447,0.145359,0.141926,0.152705,0.150023,1.231,-1.233,1.23,-0.01,10.91,-8.19,-0.5,0,-773.3,-781.9,4000,-2000,2000,-2000,2000,0,8,0,10,0,9,0,11,0,1,0,8,0,10,0,9,0,11,0,1
F11PPAC-2A,11,0.146203,0.147053,0.152173,0.143568,0.145391,1.226,-1.228,0.88,-0.53,-5.81,-1.56,-0.1,0,-310.7,-302.1,4000,-2000,2000,-2000,2000,0,12,0,14,0,13,0,15,0,2,0,12,0,14,0,13,0,15,0,2
F11PPAC-2B,11,0.148432,0.144219,0.140717,0.149207,0.147558,1.229,-1.231,1.13,-0.53,3.42,-9.44,-0.1,0,-273.3,-281.9,4000,-2000,2000,-2000,2000,0,16,0,18,0,17,0,19,0,3,0,16,0,18,0,17,0,19,0,3
