NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
S1DC1_0_0,13,0,111,X,0,-258.0,-15.0,0,61,19,0
S1DC1_0_1,13,0,111,X,1,-246.0,-15.0,0,61,19,1
S1DC1_0_2,13,0,111,X,2,-234.0,-15.0,0,61,19,2
S1DC1_0_3,13,0,111,X,3,-222.0,-15.0,0,61,19,3
S1DC1_0_4,13,0,111,X,4,-210.0,-15.0,0,61,19,4
S1DC1_0_5,13,0,111,X,5,-198.0,-15.0,0,61,19,5
S1DC1_0_6,13,0,111,X,6,-186.0,-15.0,0,61,19,6
S1DC1_0_7,13,0,111,X,7,-174.0,-15.0,0,61,19,7
S1DC1_0_8,13,0,111,X,8,-162.0,-15.0,0,61,19,8
S1DC1_0_9,13,0,111,X,9,-150.0,-15.0,0,61,19,9
S1DC1_0_10,13,0,111,X,10,-138.0,-15.0,0,61,19,10
S1DC1_0_11,13,0,111,X,11,-126.0,-15.0,0,61,19,11
S1DC1_0_12,13,0,111,X,12,-114.0,-15.0,0,61,19,12
S1DC1_0_13,13,0,111,X,13,-102.0,-15.0,0,61,19,13
S1DC1_0_14,13,0,111,X,14,-90.0,-15.0,0,61,19,14
S1DC1_0_15,13,0,111,X,15,-78.0,-15.0,0,61,19,15
S1DC1_0_16,13,0,111,X,16,-66.0,-15.0,0,61,19,16
S1DC1_0_17,13,0,111,X,17,-54.0,-15.0,0,61,19,17
S1DC1_0_18,13,0,111,X,18,-42.0,-15.0,0,61,19,18
S1DC1_0_19,13,0,111,X,19,-30.0,-15.0,0,61,19,19
S1DC1_0_20,13,0,111,X,20,-18.0,-15.0,0,61,19,20
S1DC1_0_21,13,0,111,X,21,-6.0,-15.0,0,61,19,21
S1DC1_0_22,13,0,111,X,22,6.0,-15.0,0,61,19,22
S1DC1_0_23,13,0,111,X,23,18.0,-15.0,0,61,19,23
S1DC1_0_24,13,0,111,X,24,30.0,-15.0,0,61,19,24
S1DC1_0_25,13,0,111,X,25,42.0,-15.0,0,61,19,25
S1DC1_0_26,13,0,111,X,26,54.0,-15.0,0,61,19,26
S1DC1_0_27,13,0,111,X,27,66.0,-15.0,0,61,19,27
S1DC1_0_28,13,0,111,X,28,78.0,-15.0,0,61,19,28
S1DC1_0_29,13,0,111,X,29,90.0,-15.0,0,61,19,29
S1DC1_0_30,13,0,111,X,30,102.0,-15.0,0,61,19,30
S1DC1_0_31,13,0,111,X,31,114.0,-15.0,0,61,19,31
S1DC1_0_32,13,0,111,X,32,126.0,-15.0,0,61,19,32
S1DC1_0_33,13,0,111,X,33,138.0,-15.0,0,61,19,33
S1DC1_0_34,13,0,111,X,34,150.0,-15.0,0,61,19,34
S1DC1_0_35,13,0,111,X,35,162.0,-15.0,0,61,19,35
S1DC1_0_36,13,0,111,X,36,174.0,-15.0,0,61,19,36
S1DC1_0_37,13,0,111,X,37,186.0,-15.0,0,61,19,37
S1DC1_0_38,13,0,111,X,38,198.0,-15.0,0,61,19,38
S1DC1_0_39,13,0,111,X,39,210.0,-15.0,0,61,19,39
S1DC1_1_0,13,1,112,X,0,-264.0,-5.0,0,61,19,64
S1DC1_1_1,13,1,112,X,1,-252.0,-5.0,0,61,19,65
S1DC1_1_2,13,1,112,X,2,-240.0,-5.0,0,61,19,66
S1DC1_1_3,13,1,112,X,3,-228.0,-5.0,0,61,19,67
S1DC1_1_4,13,1,112,X,4,-216.0,-5.0,0,61,19,68
S1DC1_1_5,13,1,112,X,5,-204.0,-5.0,0,61,19,69
S1DC1_1_6,13,1,112,X,6,-192.0,-5.0,0,61,19,70
S1DC1_1_7,13,1,112,X,7,-180.0,-5.0,0,61,19,71
S1DC1_1_8,13,1,112,X,8,-168.0,-5.0,0,61,19,72
S1DC1_1_9,13,1,112,X,9,-156.0,-5.0,0,61,19,73
S1DC1_1_10,13,1,112,X,10,-144.0,-5.0,0,61,19,74
S1DC1_1_11,13,1,112,X,11,-132.0,-5.0,0,61,19,75
S1DC1_1_12,13,1,112,X,12,-120.0,-5.0,0,61,19,76
S1DC1_1_13,13,1,112,X,13,-108.0,-5.0,0,61,19,77
S1DC1_1_14,13,1,112,X,14,-96.0,-5.0,0,61,19,78
S1DC1_1_15,13,1,112,X,15,-84.0,-5.0,0,61,19,79
S1DC1_1_16,13,1,112,X,16,-72.0,-5.0,0,61,19,80
S1DC1_1_17,13,1,112,X,17,-60.0,-5.0,0,61,19,81
S1DC1_1_18,13,1,112,X,18,-48.0,-5.0,0,61,19,82
S1DC1_1_19,13,1,112,X,19,-36.0,-5.0,0,61,19,83
S1DC1_1_20,13,1,112,X,20,-24.0,-5.0,0,61,19,84
S1DC1_1_21,13,1,112,X,21,-12.0,-5.0,0,61,19,85
S1DC1_1_22,13,1,112,X,22,0.0,-5.0,0,61,19,86
S1DC1_1_23,13,1,112,X,23,12.0,-5.0,0,61,19,87
S1DC1_1_24,13,1,112,X,24,24.0,-5.0,0,61,19,88
S1DC1_1_25,13,1,112,X,25,36.0,-5.0,0,61,19,89
S1DC1_1_26,13,1,112,X,26,48.0,-5.0,0,61,19,90
S1DC1_1_27,13,1,112,X,27,60.0,-5.0,0,61,19,91
S1DC1_1_28,13,1,112,X,28,72.0,-5.0,0,61,19,92
S1DC1_1_29,13,1,112,X,29,84.0,-5.0,0,61,19,93
S1DC1_1_30,13,1,112,X,30,96.0,-5.0,0,61,19,94
S1DC1_1_31,13,1,112,X,31,108.0,-5.0,0,61,19,95
S1DC1_1_32,13,1,112,X,32,120.0,-5.0,0,61,19,96
S1DC1_1_33,13,1,112,X,33,132.0,-5.0,0,61,19,97
S1DC1_1_34,13,1,112,X,34,144.0,-5.0,0,61,19,98
S1DC1_1_35,13,1,112,X,35,156.0,-5.0,0,61,19,99
S1DC1_1_36,13,1,112,X,36,168.0,-5.0,0,61,19,100
S1DC1_1_37,13,1,112,X,37,180.0,-5.0,0,61,19,101
S1DC1_1_38,13,1,112,X,38,192.0,-5.0,0,61,19,102
S1DC1_1_39,13,1,112,X,39,204.0,-5.0,0,61,19,103
S1DC1_2_0,13,2,113,Y,0,114.0,5.0,0,61,19,40
S1DC1_2_1,13,2,113,Y,1,102.0,5.0,0,61,19,41
S1DC1_2_2,13,2,113,Y,2,90.0,5.0,0,61,19,42
S1DC1_2_3,13,2,113,Y,3,78.0,5.0,0,61,19,43
S1DC1_2_4,13,2,113,Y,4,66.0,5.0,0,61,19,44
S1DC1_2_5,13,2,113,Y,5,54.0,5.0,0,61,19,45
S1DC1_2_6,13,2,113,Y,6,42.0,5.0,0,61,19,46
S1DC1_2_7,13,2,113,Y,7,30.0,5.0,0,61,19,47
S1DC1_2_8,13,2,113,Y,8,18.0,5.0,0,61,19,48
S1DC1_2_9,13,2,113,Y,9,6.0,5.0,0,61,19,49
S1DC1_2_10,13,2,113,Y,10,-6.0,5.0,0,61,19,50
S1DC1_2_11,13,2,113,Y,11,-18.0,5.0,0,61,19,51
S1DC1_2_12,13,2,113,Y,12,-30.0,5.0,0,61,19,52
S1DC1_2_13,13,2,113,Y,13,-42.0,5.0,0,61,19,53
S1DC1_2_14,13,2,113,Y,14,-54.0,5.0,0,61,19,54
S1DC1_2_15,13,2,113,Y,15,-66.0,5.0,0,61,19,55
S1DC1_2_16,13,2,113,Y,16,-78.0,5.0,0,61,19,56
S1DC1_2_17,13,2,113,Y,17,-90.0,5.0,0,61,19,57
S1DC1_2_18,13,2,113,Y,18,-102.0,5.0,0,61,19,58
S1DC1_2_19,13,2,113,Y,19,-114.0,5.0,0,61,19,59
S1DC1_3_0,13,3,114,Y,0,120.0,15.0,0,61,19,104
S1DC1_3_1,13,3,114,Y,1,108.0,15.0,0,61,19,105
S1DC1_3_2,13,3,114,Y,2,96.0,15.0,0,61,19,106
S1DC1_3_3,13,3,114,Y,3,84.0,15.0,0,61,19,107
S1DC1_3_4,13,3,114,Y,4,72.0,15.0,0,61,19,108
S1DC1_3_5,13,3,114,Y,5,60.0,15.0,0,61,19,109
S1DC1_3_6,13,3,114,Y,6,48.0,15.0,0,61,19,110
S1DC1_3_7,13,3,114,Y,7,36.0,15.0,0,61,19,111
S1DC1_3_8,13,3,114,Y,8,24.0,15.0,0,61,19,112
S1DC1_3_9,13,3,114,Y,9,12.0,15.0,0,61,19,113
S1DC1_3_10,13,3,114,Y,10,0.0,15.0,0,61,19,114
S1DC1_3_11,13,3,114,Y,11,-12.0,15.0,0,61,19,115
S1DC1_3_12,13,3,114,Y,12,-24.0,15.0,0,61,19,116
S1DC1_3_13,13,3,114,Y,13,-36.0,15.0,0,61,19,117
S1DC1_3_14,13,3,114,Y,14,-48.0,15.0,0,61,19,118
S1DC1_3_15,13,3,114,Y,15,-60.0,15.0,0,61,19,119
S1DC1_3_16,13,3,114,Y,16,-72.0,15.0,0,61,19,120
S1DC1_3_17,13,3,114,Y,17,-84.0,15.0,0,61,19,121
S1DC1_3_18,13,3,114,Y,18,-96.0,15.0,0,61,19,122
S1DC1_3_19,13,3,114,Y,19,-108.0,15.0,0,61,19,123