FPL,NAME,q1_ch,q1_geo,q2_ch,q2_geo,q_det,qcal_1,qcal_2,qped_1,qped_2,t1_ch,t1_ch2ns,t1_geo,t1_offset,t2_ch,t2_ch2ns,t2_geo,t2_offset,t_det
13,WINDS1,0,14,21,14,50,1,1,177.274,164.755,1,0.025,9,-1221.210681,17,0.025,9,-1221.210681,51
13,WINDS2,1,14,22,14,50,1,1,102.1535492,147.7693024,2,0.025,9,-1220.893165,18,0.025,9,-1220.893165,51
13,WINDS3,2,14,23,14,50,1,1,185.0098267,149.2861328,3,0.025,9,-1220.243188,19,0.025,9,-1220.243188,51
13,WINDS4,3,14,24,14,50,1,1,191.6829681,142.3191223,4,0.025,9,-1220.700791,20,0.025,9,-1220.700791,51
13,WINDS5,4,14,25,14,50,1,1,139.549469,130.0382538,5,0.025,9,-1222.025342,21,0.025,9,-1222.025342,51
13,WINDS6,5,14,26,14,50,1,1,141.7001953,110.9801331,6,0.025,9,-1222.429766,22,0.025,9,-1222.429766,51
13,WINDS7,6,14,27,14,50,1,1,160.3655396,145.2006989,7,0.025,9,-1222.842124,23,0.025,9,-1222.842124,51
13,WINDS8,7,14,28,14,50,1,1,156.7441711,177.5830688,8,0.025,9,-1223.212188,24,0.025,9,-1223.212188,51
13,WINDS9,8,14,29,14,50,1,1,187.5716553,174.758728,9,0.025,9,-1238.619277,25,0.025,9,-1238.619277,51
13,WINDS10,9,14,30,14,50,1,1,157.8817902,214.0148926,10,0.025,9,-1220.862126,26,0.025,9,-1220.862126,51
13,WINDS11,10,14,31,14,50,1,1,195.2920074,204.6914978,11,0.025,9,-1229.163947,27,0.025,9,-1229.163947,51
13,WINDS12,11,14,0,16,50,1,1,186.312912,77.3534393,12,0.025,9,-1229,28,0.025,9,-1229,51
13,WINDS13,12,14,1,16,50,1,1,165.8222351,114.590683,13,0.025,9,-1222.920062,29,0.025,9,-1222.920062,51
13,WINDS14,13,14,2,16,50,1,1,132.1918182,134.6104431,14,0.025,9,-1221.444198,30,0.025,9,-1221.444198,51
13,WINDS15,14,14,3,16,50,1,1,146.1175232,161.6186523,15,0.025,9,-1221.085902,31,0.025,9,-1221.085902,51
13,WINDS16,15,14,4,16,50,1,1,140.9509125,142.9686279,0,0.025,8,-1272.447049,8,0.025,8,-1272.447049,51
13,WINDS17,16,14,5,16,50,1,1,130.4841461,101.2088928,1,0.025,8,-1217.728716,9,0.025,8,-1217.728716,51
13,WINDS18,17,14,6,16,50,1,1,143.140213,147.1004791,2,0.025,8,-1216.513575,10,0.025,8,-1216.513575,51
13,WINDS19,18,14,7,16,50,1,1,125.5813751,179.6027832,3,0.025,8,-1212.984278,11,0.025,8,-1212.984278,51
13,WINDS20,19,14,8,16,50,1,1,171.0332489,140.5678864,4,0.025,8,-1212.737317,12,0.025,8,-1212.737317,51
13,WINDS21,20,14,9,16,50,1,1,162.5862732,147.207016,5,0.025,8,-1212.08571,13,0.025,8,-1212.08571,51
13,WINDS22,0,15,21,17,50,1,1,165.2349396,181.7657013,6,0.025,8,-1251.441833,14,0.025,8,-1251.441833,51
13,WINDS23,1,15,22,17,50,1,1,176.2247925,131.0821228,7,0.025,8,-1250.96626,15,0.025,8,-1250.96626,51
13,WINDS24,2,15,23,17,50,1,1,182.7555542,169.7073517,1,0.025,7,-1252.055716,17,0.025,7,-1252.055716,51
13,WINDS25,3,15,24,17,50,1,1,131.6769257,213.3459015,2,0.025,7,-1251.720482,18,0.025,7,-1251.720482,51
13,WINDS26,4,15,25,17,50,1,1,193.6198578,161.8861847,3,0.025,7,-1252.951367,19,0.025,7,-1252.951367,51
13,WINDS27,5,15,26,17,50,1,1,202.9590912,208.0250397,4,0.025,7,-1253.679286,20,0.025,7,-1253.679286,51
13,WINDS28,6,15,27,17,50,1,1,231.4080505,237.0161743,5,0.025,7,-1252.223716,21,0.025,7,-1252.223716,51
13,WINDS29,7,15,28,17,50,1,1,191.1873779,208.9806671,6,0.025,7,-1252.945466,22,0.025,7,-1252.945466,51
13,WINDS30,8,15,29,17,50,1,1,246.3566895,249.6883392,7,0.025,7,-1254.156534,23,0.025,7,-1254.156534,51
13,WINDS31,9,15,30,17,50,1,1,118.4835129,159.7606201,8,0.025,7,-1252.916249,24,0.025,7,-1252.916249,51
13,WINDS32,10,15,31,17,50,1,1,196.497467,298.5354919,9,0.025,7,-1262.344078,25,0.025,7,-1262.344078,51
13,WINDS33,11,15,0,13,50,1,1,209.6693115,129.9952393,10,0.025,7,-1266.700723,26,0.025,7,-1266.700723,51
13,WINDS34,12,15,1,13,50,1,1,161.5919495,138.4403992,11,0.025,7,-1253.823122,27,0.025,7,-1253.823122,51
13,WINDS35,13,15,2,13,50,1,1,170.6369781,76.2844009,12,0.025,7,-1252.921628,28,0.025,7,-1252.921628,51
13,WINDS36,14,15,3,13,50,1,1,121.1531372,171.8367157,13,0.025,7,-1250.242777,29,0.025,7,-1250.242777,51
13,WINDS37,15,15,4,13,50,1,1,146.396637,42.1074829,14,0.025,7,-1250.86247,30,0.025,7,-1250.86247,51
13,WINDS38,16,17,5,13,50,1,1,260.0992432,96.0611877,15,0.025,7,-1252.627415,31,0.025,7,-1252.627415,51
13,WINDS39,17,17,6,13,50,1,1,190.8988647,171.6160431,17,0.025,8,-1249.376762,24,0.025,8,-1249.376762,51
13,WINDS40,18,17,7,13,50,1,1,154.8658905,169.6585236,18,0.025,8,-1248.885471,25,0.025,8,-1248.885471,51
13,WINDS41,19,17,8,13,50,1,1,226.3097687,247.0846558,19,0.025,8,-1245.619593,26,0.025,8,-1245.619593,51
13,WINDS42,20,17,9,13,50,1,1,223.8500366,110.7986755,20,0.025,8,-1244.504768,27,0.025,8,-1244.504768,51
13,WINDS43,0,17,10,13,50,1,1,249.014267,167.7460327,21,0.025,8,-1221.720799,28,0.025,8,-1221.720799,51
13,WINDS44,1,17,17,13,50,1,1,238.1911774,205.3008881,22,0.025,8,-1221.473387,29,0.025,8,-1221.473387,51
